customer name,customer e-mail,country,gender,age,annual Salary,credit card debt,net worth,car purchase amount
Francesca Cervantes,leo@sitametdapibus.edu,Mongolia,1,36.67318264,72471.81532,11216.88676,583523.0762,46381.13111
Rafael Peterson,lectus.a.sollicitudin@tortorat.net,Sri Lanka,1,52.46564908,35069.41886,1851.979839,353757.5057,31978.9799
Roanna Knox,dolor.nonummy@metusurnaconvallis.net,Guinea-Bissau,0,57.12191756,52422.94691,6998.46562,438067.7506,48100.29052
Marny Vargas,nonummy.Fusce.fermentum@ligula.org,Egypt,1,33.81629802,84467.78988,7772.444847,468238.7915,47380.91224
Charlotte Waller,odio@Nuncac.org,Slovenia,1,43.03088068,51419.50777,,636407.1148,41425.00116
Dorian Hernandez,conubia.nostra.per@diam.co.uk,Benin,1,50.16597776,46609.51626,7592.019748,409419.5797,38147.81018
Armando Hensley,Class.aptent@torquentper.com,Cape Verde,1,42.24181684,55207.45679,9976.434857,,32737.80177
Rowan Kidd,sapien.Aenean.massa@adipiscing.ca,Paraguay,1,42.05808927,46689.4159,7829.565502,615765.9289,37348.13737
Gwendolyn Rice,Duis@metusIn.com,Laos,0,42.09853578,71847.2544,4225.328117,476088.3996,47483.85316
Gareth Morris,est.Nunc.laoreet@nullavulputatedui.edu,Iceland,0,54.55868922,69236.68608,9842.842611,242495.9886,49730.53339
